elasticity,t-statistic,SE,1/SE,studyid,authorid,level
-0.12,-3,0.04,25,11,14,0
-0.12,-1.85,0.0649,15.40832,1,1,0
-0.12,-1.455,0.0825,12.12121,26,25,0
-0.12,-2,0.06,16.66667,26,25,0
-0.12,-2.4,0.05,20,26,25,0
-0.12,-1.5,0.08,12.5,26,25,0
-0.119,-1.17,0.1019,9.81544,67,26,0
-0.116,-6.667,0.0174,57.47126,32,39,0
-0.116,-1.758,0.066,15.15152,35,29,0
-0.116,-3.38,0.0343,29.13793,9,12,0
-0.115,-3,0.0384,26.04167,29,25,0
-0.115,-4.5,0.0256,39.13043,22,23,0
-0.115,-0.777,0.1477,6.77017,59,2,0
-0.114,-4.727,0.0242,41.32231,20,22,0
-0.113,-6.333,0.0178,56.0472,32,39,0
-0.113,-3.4,0.0332,30.0885,2,3,0
-0.112,-2.03,0.0552,18.125,19,21,0
-0.112,-1.191,0.094,10.6383,55,42,0
-0.111,-1.947,0.057,17.54386,32,27,0
-0.111,-3.89,0.0285,35.04505,2,3,0
-0.111,-2.59,0.0429,23.33333,2,3,0
-0.111,-1.47,0.0755,13.24324,2,3,0
-0.11,-1.1,0.1,10,41,17,0
-0.11,-0.53,0.2075,4.81818,66,8,0
-0.11,-1.1,0.1,10,41,17,0
-0.11,-1.05,0.1048,9.54545,65,8,0
-0.11,-1.65,0.0667,15,56,43,0
-0.11,-3.692,0.0299,33.44482,20,22,0
-0.11,-1.86,0.0591,16.90909,66,8,0
-0.11,-0.4,0.275,3.63636,66,8,0
-0.11,-2.7,0.0407,24.54545,13,16,0
-0.11,-1.375,0.08,12.5,26,25,0
-0.11,-2.973,0.037,27.02703,11,14,0
-0.11,-2.2,0.05,20,26,25,0
-0.109,-0.96,0.1136,8.8,32,39,0
-0.109,-2.6,0.0419,23.85321,2,3,0
-0.109,-3.5,0.0311,32.11009,22,23,0
-0.109,-2.08,0.0524,19.08257,19,21,0
-0.108,-3.6,0.03,33.33333,7,9,0
-0.108,-2.14,0.0505,19.81481,2,3,0
-0.107,-1.551,0.069,14.49275,32,39,0
-0.107,-1.688,0.0634,15.77287,33,22,0
-0.107,-5.652,0.0189,52.79689,32,27,0
-0.107,-1.34,0.0798,12.52495,60,46,0
-0.106,-5.579,0.026,38.46154,6,7,0
-0.106,-3.25,0.0326,30.66038,2,3,0
-0.106,-3.02,0.0351,28.49057,2,3,0
-0.106,-3.25,0.0326,30.66036,7,9,0
-0.106,-1.44,0.0736,13.58491,19,21,0
-0.106,-3.25,0.0326,30.66038,2,3,0
-0.106,-1.377,0.077,12.98701,35,29,0
-0.106,-1.08,0.0981,10.18868,8,11,0
-0.106,-2.67,0.0397,25.18868,2,3,0
-0.105,-1.944,0.054,18.51852,55,42,0
-0.105,-1.419,0.0738,13.54839,32,27,0
-0.105,-1.76,0.0597,16.7619,56,43,0
-0.105,-1.167,0.09,11.11111,26,25,0
-0.105,-3.88,0.0271,36.95218,7,9,0
-0.105,-1.27,0.0827,12.09524,19,21,0
-0.104,-0.403,0.2577,3.88031,38,31,0
-0.104,-2.53,0.0411,24.32692,19,21,0
-0.103,-1.94,0.0531,18.83495,19,21,0
-0.103,-3.12,0.033,30.29126,2,3,0
-0.102,-3.08,0.0331,30.19608,2,3,0
-0.102,-3.08,0.0331,30.19608,7,9,0
-0.102,-4.8,0.0212,47.21566,61,47,0
-0.102,-4.8,0.0212,47.21566,61,47,0
-0.102,-3.1,0.0329,30.39216,2,3,0
-0.101,-2.1,0.0481,20.79208,3,4,0
-0.101,-1.579,0.0642,15.57632,33,22,0
-0.101,-3.667,0.0275,36.30363,32,39,0
-0.101,-1.98,0.051,19.60784,11,14,0
-0.1,-0.8,0.125,8,3,4,0
-0.1,-0.5,0.2,5,12,15,0
-0.1,-0.333,0.3,3.33333,12,2,0
-0.1,-2.667,0.0375,26.66667,27,25,0
-0.1,-1.429,0.07,14.28571,26,25,0
-0.1,-0.222,0.45,2.22222,12,2,0
-0.1,-1.5,0.0667,15,21,23,0
-0.1,-0.429,0.2333,4.28571,12,2,0
-0.1,-2.1,0.0476,21,13,16,0
-0.1,-1,0.1,10,14,17,0
-0.1,-0.25,0.4,2.5,12,15,0
-0.1,-1.852,0.054,18.51852,55,42,0
-0.1,-0.189,0.53,1.88679,14,17,0
-0.1,-2.211,0.045,22.22222,11,14,0
-0.1,-0.5,0.2,5,12,15,0
-0.1,-2.54,0.0394,25.4,65,8,0
-0.099,-1.386,0.0712,14.04494,57,44,0
-0.099,-2.78,0.0356,28.08081,7,9,0
-0.099,-1.4,0.0707,14.14141,3,4,0
-0.099,-2.317,0.0426,23.47418,20,22,0
-0.099,-3.088,0.0321,31.11694,32,39,0
-0.098,-2.09,0.0469,21.32653,7,9,0
-0.097,-3.031,0.032,31.25,11,14,0
-0.097,-2.78,0.035,28.57971,28,25,0
-0.097,-3.15,0.0308,32.47423,2,3,0
-0.097,-2.56,0.0379,26.39175,2,3,0
-0.097,-1.597,0.0606,16.50165,33,22,0
-0.097,-2.75,,,32,27,0
-0.097,-2.75,,,32,27,0
-0.096,-2.34,0.041,24.375,19,21,0
-0.096,-2.341,0.041,24.39024,11,14,0
-0.096,-1,0.096,10.41667,64,49,0
-0.095,-2.22,0.0428,23.36831,7,9,0
-0.094,-1.65,0.057,17.55319,19,21,0
-0.094,-1.958,0.0478,20.9205,20,22,0
-0.094,-1.43,0.0657,15.21277,2,3,0
-0.093,-2.659,0.0349,28.6533,20,22,0
-0.093,-1.99,0.0467,21.39785,2,3,0
-0.093,-0.478,0.1946,5.13952,32,39,0
-0.092,-1.92,0.0479,20.86957,9,12,0
-0.092,-2.5,0.0368,27.17391,32,39,0
-0.091,-2.03,0.0448,22.30769,2,3,0
-0.091,-1.98,0.0458,21.83406,20,22,0
-0.09,-1.957,0.046,21.73913,11,14,0
-0.09,-1.27,0.0709,14.11111,1,1,0
-0.09,-1.5,0.06,16.66667,26,25,0
-0.09,-1.714,0.0525,19.04762,26,25,0
-0.09,-2.06,0.0435,22.98851,20,22,0
-0.09,-1.26,0.0714,14,1,1,0
-0.09,-2.8,0.0321,31.11111,27,25,0
-0.09,-2.8,0.032,31.25,29,25,0
-0.09,-1,0.09,11.11111,26,25,0
-0.09,-2.2,0.0409,24.44444,27,25,0
-0.089,-1.92,0.0464,21.57303,2,3,0
-0.089,-3.16,0.0283,35.34211,61,47,0
-0.089,-2.143,0.0413,24.20553,28,25,0
-0.089,-0.369,0.2398,4.17014,42,17,0
-0.089,-3.16,0.0283,35.34211,61,47,0
-0.089,-1.98,0.045,22.24694,9,12,0
-0.088,-2.568,0.0342,29.27184,28,25,0
-0.088,-1.888,0.0464,21.55172,20,22,0
-0.088,-1.76,0.05,20,14,17,0
-0.088,-1.3,0.0677,14.77273,3,4,0
-0.088,-2.146,0.041,24.39024,14,17,0
-0.087,-2.096,0.0415,24.09639,20,22,0
-0.087,-1.2,0.0725,13.7931,3,4,0
-0.087,-2.122,0.041,24.39024,14,17,0
-0.087,-0.87,0.1,10,8,11,0
-0.087,-2.122,0.041,24.39024,14,17,0
-0.087,-1.961,0.0444,22.54023,56,43,0
-0.087,-1.49,0.0584,17.12644,2,3,0
-0.086,-2.14,0.04,25,20,22,0
-0.086,-0.581,0.148,6.75676,55,42,0
-0.086,-2.15,0.04,25,14,17,0
-0.086,-2.12,0.0406,24.65116,19,21,0
-0.085,-2.03,0.0419,23.88235,19,21,0
-0.085,-2.25,0.0378,26.47059,32,39,0
-0.085,-0.7,0.1214,8.23529,3,4,0
-0.084,-1.68,0.05,20,9,12,0
-0.084,-1.957,0.0429,23.33186,28,25,0
-0.084,-1.87,0.0449,22.2619,2,3,0
-0.084,-1.8,0.0467,21.42857,2,3,0
-0.084,-2.05,0.041,24.40476,19,21,0
-0.083,-2.51,0.0331,30.24096,7,9,0
-0.083,-4,0.0208,48.19277,3,4,0
-0.083,-2.01,0.0413,24.21687,19,21,0
-0.083,-1.976,0.042,23.80952,11,14,0
-0.083,-2.06,0.0403,24.81928,7,9,0
-0.083,-1.64,0.0506,19.75904,2,3,0
-0.083,-1.62,0.0515,19.42446,4,5,0
-0.083,-2.51,0.0331,30.24096,2,3,0
-0.082,-1.09,0.0752,13.29268,2,3,0
-0.082,-2.53,0.0324,30.85366,19,21,0
-0.082,-1.43,0.0573,17.43902,2,3,0
-0.082,-1.82,0.0451,22.19512,2,3,0
-0.082,-2.485,0.026,38.46154,6,7,0
-0.082,-2.55,0.0322,31.09756,2,3,0
-0.082,-1.82,0.0451,22.19512,2,3,0
-0.081,-2.305,0.0351,28.49003,20,22,0
-0.081,-1.345,0.0603,16.58375,33,22,0
-0.081,-6.7,0.0121,82.47761,32,39,0
-0.081,-1.75,0.0463,21.60294,9,12,0
-0.081,-1.93,0.042,23.82716,9,12,0
-0.081,-2.05,0.0395,25.30864,9,12,0
-0.081,-3.5,0.0231,43.20988,32,39,0
-0.081,-3.5,0.0231,43.20988,32,39,0
-0.08,-1.2,0.0667,15,13,16,0
-0.08,-3.9,0.0205,48.78049,1,1,0
-0.08,-1.4,0.0571,17.5,13,16,0
-0.08,-1.143,0.07,14.28571,26,25,0
-0.08,-1.89,0.0423,23.625,9,12,0
-0.08,-0.889,0.09,11.11111,26,25,0
-0.079,-2.16,0.0366,27.34177,2,3,0
-0.079,-2.05,0.0385,25.94937,19,21,0
-0.079,-1.54,0.051,19.59785,67,10,0
-0.079,-2.02,0.0391,25.56962,9,12,0
-0.078,-1.68,0.0464,21.5378,9,12,0
-0.078,-2.8,0.0279,35.89744,3,4,0
-0.078,-2.786,0.028,35.71429,8,11,0
-0.078,-2.03,0.0384,26.02564,9,12,0
-0.078,-2.12,0.0366,27.33861,59,2,0
-0.077,-1.833,0.042,23.80952,14,17,0
-0.077,-2.03,0.0379,26.36364,9,12,0
-0.077,-1.82,0.0423,23.63636,2,3,0
-0.076,-1.84,0.0413,24.21308,9,12,0
-0.076,-0.797,0.0952,10.50847,36,30,0
-0.076,-1.87,0.0406,24.60526,19,21,0
-0.075,-0.317,0.2385,4.19357,30,25,0
-0.075,-1.25,0.06,16.66667,32,39,0
-0.075,-2.109,0.0357,28.01312,28,25,0
-0.075,-1.82,0.0412,24.26667,19,21,0
-0.075,-1.64,0.0464,21.5378,9,12,0
-0.075,-2.1,0.0357,28,2,3,0
-0.075,-0.1,0.75,1.33333,5,6,0
-0.074,-2.34,0.0316,31.62162,19,21,0
-0.074,-1.8,0.0411,24.32432,19,21,0
-0.073,-1.8,0.0406,24.65753,19,21,0
-0.073,-2.122,0.0344,29.10836,28,25,0
-0.073,-1.77,0.0412,24.24658,19,21,0
-0.073,-1.05,0.0695,14.38356,19,21,0
-0.072,-1.714,0.042,23.80952,14,17,0
-0.072,-1.91,0.0377,26.52778,2,3,0
-0.072,-1.72,0.0419,23.88889,19,21,0
-0.072,-1.717,0.0421,23.75297,20,22,0
-0.072,-1.82,0.0396,25.27778,7,9,0
-0.072,-1.714,0.042,23.80952,14,17,0
-0.071,-1.89,0.0376,26.61972,9,12,0
-0.07,-1.1,0.0636,15.72327,1,1,0
-0.07,-3.91,0.0179,55.86592,1,1,0
-0.07,-1.14,0.0614,16.28664,1,1,0
-0.07,-1.62,0.0432,23.14279,9,12,0
-0.07,-1.571,0.0448,22.32143,29,25,0
-0.07,-3,0.0233,42.85714,27,25,0
-0.07,-1.571,0.0445,22.44898,27,25,0
-0.069,-1.47,0.0469,21.30379,9,12,0
-0.069,-1.34,0.0515,19.42029,2,3,0
-0.069,-1.156,0.0598,16.72241,33,22,0
-0.069,-1.59,0.0434,23.04348,9,12,0
-0.069,-1.573,0.0436,22.93578,20,22,0
-0.069,-1.05,0.0657,15.21739,2,3,0
-0.069,-1.264,0.0546,18.31776,34,28,0
-0.067,-1.862,0.0362,27.65152,28,25,0
-0.067,-1.47,0.0457,21.88184,20,22,0
-0.067,-1.65,0.0406,24.62687,19,21,0
-0.067,-1.07,0.0626,15.97015,19,21,0
-0.067,-1.46,0.0459,21.79124,9,12,0
-0.066,-2.02,0.0326,30.67394,61,47,0
-0.066,-2.02,0.0326,30.67394,61,47,0
-0.066,-1,0.0659,15.17241,21,23,0
-0.066,-3.75,,,32,27,0
-0.066,-2.586,0.0256,39.02835,10,13,0
-0.066,-1.38,0.0478,20.90909,9,12,0
-0.066,-1.59,0.0415,24.09091,2,3,0
-0.065,-1,0.065,15.38462,21,23,0
-0.065,-9.04,0.0072,138.6904,61,47,0
-0.065,-9.04,0.0072,138.6904,61,47,0
-0.065,-1.41,0.0461,21.69231,9,12,0
-0.064,-1.53,0.0418,23.90625,9,12,0
-0.064,-3.368,0.026,38.46154,6,7,0
-0.064,-1.61,0.0398,25.15625,67,10,0
-0.064,-7.067,0.0091,109.9702,32,39,0
-0.064,-1.46,0.0438,22.8125,9,12,0
-0.064,-1.385,0.046,21.73913,20,22,0
-0.064,-0.26,0.2469,4.04984,31,26,0
-0.064,-1.45,0.0441,22.65625,9,12,0
-0.064,-1.577,0.0406,24.62983,30,25,0
-0.064,-1.391,0.046,21.73913,14,17,0
-0.062,-1.562,0.0397,25.1844,30,25,0
-0.062,-1.43,0.0434,23.06452,9,12,0
-0.062,-1.43,0.0434,23.06452,9,12,0
-0.062,-0.75,0.0827,12.09677,9,12,0
-0.061,-1.41,0.0433,23.11475,7,9,0
-0.061,-0.99,0.0616,16.22951,2,3,0
-0.061,-1.63,0.0374,26.72131,12,15,0
-0.061,-0.5,0.1226,8.15789,36,30,0
-0.06,-1.41,0.0426,23.5,56,43,0
-0.06,-0.563,0.1067,9.375,49,25,0
-0.06,-1.25,0.048,20.83333,9,12,0
-0.06,-2.92,0.0205,48.78049,1,1,0
-0.06,-0.577,0.1035,9.65974,28,25,0
-0.06,-2.92,0.0205,48.78049,1,1,0
-0.06,-1.3,0.0462,21.66847,9,12,0
-0.06,-0.99,0.0606,16.5,9,12,0
-0.06,-1.6,0.0375,26.66667,3,4,0
-0.06,-1.542,0.0392,25.53419,30,25,0
-0.059,-1.31,0.045,22.20249,9,12,0
-0.058,-3.73,0.0157,63.81666,61,47,0
-0.058,-3.73,0.0157,63.81666,61,47,0
-0.058,-1.23,0.0472,21.20891,9,12,0
-0.058,-1.24,0.0472,21.20891,9,12,0
-0.057,-0.23,0.2478,4.03509,31,26,0
-0.056,-1.11,0.0505,19.82143,9,12,0
-0.055,-1.352,0.0406,24.62983,30,25,0
-0.055,-1.341,0.041,24.39024,14,17,0
-0.055,-1.17,0.047,21.27273,9,12,0
-0.055,-2.5,0.022,45.45455,3,4,0
-0.055,-1.341,0.041,24.39024,14,17,0
-0.054,-1.126,0.048,20.85106,34,28,0
-0.054,-1.138,0.0474,21.07527,34,28,0
-0.054,-0.808,0.0663,15.09434,28,25,0
-0.054,-1.77,0.0305,32.77778,66,8,0
-0.054,-1.884,0.0288,34.68391,28,25,0
-0.053,-1.05,0.0505,19.81132,9,12,0
-0.053,-1.19,0.0445,22.45173,9,12,0
-0.053,-3,,,32,27,0
-0.053,-0.7,0.075,13.33333,26,25,0
-0.053,-0.508,0.1048,9.54496,28,25,0
-0.053,-1.17,0.0453,22.07506,9,12,0
-0.053,-1.22,0.0434,23.01887,9,12,0
-0.052,-1.62,0.0321,31.15385,12,15,0
-0.052,-1.12,0.0464,21.5378,9,12,0
-0.052,-1.93,0.027,37.03704,6,7,0
-0.051,-1.962,0.026,38.46154,6,7,0
-0.051,-0.69,0.0739,13.52941,2,3,0
-0.051,-1.12,0.0455,21.96078,2,3,0
-0.051,-1.15,0.0443,22.54902,66,8,0
-0.051,-3.109,0.0164,60.86957,30,25,0
-0.051,-0.39,0.1308,7.64706,65,8,0
-0.05,-1.96,0.0255,39.2,34,28,0
-0.05,-1.9,0.0263,38,13,16,0
-0.05,-0.09,0.5556,1.8,13,16,0
-0.05,-0.83,0.0602,16.6113,1,1,0
-0.05,-1,0.05,20,64,49,0
-0.05,-1.042,0.0477,20.96436,20,22,0
-0.05,-1.042,0.048,20.83333,14,17,0
-0.05,-0.87,0.0575,17.3913,1,1,0
-0.05,-0.794,0.063,15.87302,14,17,0
-0.049,-2.867,0.0169,59.01493,32,39,0
-0.049,-2.957,0.0164,60.86957,30,25,0
-0.049,-0.94,0.0521,19.18367,2,3,0
-0.048,-0.753,0.0643,15.5521,33,22,0
-0.048,-0.89,0.0539,18.54167,2,3,0
-0.048,-1.01,0.0475,21.04167,2,3,0
-0.046,-0.89,0.0517,19.34783,9,12,0
-0.045,-0.99,0.0455,22,2,3,0
-0.045,-0.89,0.0506,19.77778,19,21,0
-0.044,-0.338,0.131,7.63411,28,25,0
-0.044,-1.1,0.026,38.46154,6,7,0
-0.044,-0.96,0.0458,21.81818,2,3,0
-0.044,-1.09,0.0406,24.60497,67,26,0
-0.044,-0.83,0.053,18.86364,9,12,0
-0.044,-0.85,0.0518,19.31818,9,12,0
-0.042,-4.97,0.0085,117.9417,61,47,0
-0.042,-0.824,0.051,19.60784,14,17,0
-0.042,-4.97,0.0085,117.9417,61,47,0
-0.042,-1.235,0.026,38.46154,6,7,0
-0.041,-0.917,0.0443,22.58824,42,17,0
-0.041,-1.259,0.026,38.46154,6,7,0
-0.041,-2.6,0.0158,63.41463,3,4,0
-0.04,-0.69,0.058,17.24138,1,1,0
-0.04,-0.83,0.0482,20.75,19,21,0
-0.04,-2.8,0.0143,70,13,16,0
-0.04,-1.3,0.0308,32.5,13,16,0
-0.04,-0.64,0.0625,16,1,1,0
-0.04,-1.307,0.0306,32.66667,34,28,0
-0.039,-0.592,0.0652,15.33742,33,22,0
-0.039,-0.8,0.0488,20.51282,19,21,0
-0.039,-1.026,0.038,26.31579,32,27,0
-0.039,-0.465,0.0847,11.80638,57,44,0
-0.038,-0.77,0.0494,20.26316,19,21,0
-0.038,-0.83,0.0458,21.84211,2,3,0
-0.038,-0.613,0.062,16.12903,14,17,0
-0.038,-7.444,0.0051,196.7164,32,27,0
-0.038,-0.5,0.075,13.33333,26,25,0
-0.037,-1.62,0.0228,43.78378,2,3,0
-0.037,-1.69,0.0219,45.67568,2,3,0
-0.037,-2.748,0.0135,74.07407,18,20,0
-0.037,-0.71,0.0521,19.18919,19,21,0
-0.037,-0.74,0.05,20,19,21,0
-0.036,-1.03,0.0351,28.45304,31,26,0
-0.036,-1.385,0.026,38.46154,6,7,0
-0.036,-2.663,0.0135,73.97222,64,49,0
-0.036,-0.79,0.0456,21.94444,2,3,0
-0.036,-1.5,0.024,41.66667,3,4,0
-0.035,-2.663,0.0131,76.08571,64,49,0
-0.035,-1.69,0.0207,48.28571,2,3,0
-0.035,-0.921,0.038,26.31579,35,29,0
-0.035,-0.63,0.0556,18,9,12,0
-0.034,-1.7,0.026,38.46154,6,7,0
-0.034,-1.7,0.026,38.46154,6,7,0
-0.034,-0.59,0.0576,17.35294,66,8,0
-0.034,-0.65,0.0523,19.11765,9,12,0
-0.033,-0.38,0.0868,11.51515,19,21,0
-0.033,-0.907,0.0364,27.50609,28,25,0
-0.033,-0.37,0.0892,11.21212,9,12,0
-0.033,-1.27,0.026,38.46154,6,7,0
-0.033,-1.797,0.0184,54.44444,34,28,0
-0.033,-0.846,0.026,38.46154,6,7,0
-0.033,-0.39,0.0854,11.71171,31,26,0
-0.032,-0.85,0.0376,26.5625,12,15,0
-0.032,-2.368,0.0136,73.52941,18,20,0
-0.032,-1.28,0.026,38.46154,6,7,0
-0.031,-8.462,0.0037,272.3766,32,27,0
-0.031,-0.3,0.1033,9.67742,3,4,0
-0.031,-6.2,0.005,200,47,36,0
-0.031,-1.49,0.0208,48.06452,2,3,0
-0.031,-0.6,0.0517,19.35484,9,12,0
-0.031,-0.05,0.62,1.6129,2,3,0
-0.03,-0.19,0.1579,6.33333,63,48,0
-0.03,-2.2,0.0136,73.33333,13,16,0
-0.03,-0.51,0.0588,17.0068,1,1,0
-0.03,-0.333,0.09,11.11111,26,25,0
-0.03,-0.6,0.05,20,1,1,0
-0.03,-0.375,0.08,12.5,41,17,0
-0.03,-1.25,0.024,41.66667,2,3,0
-0.03,-5.662,0.0054,186.5069,10,13,0
-0.03,-0.273,0.11,9.09091,27,25,0
-0.03,-2.1,0.0143,70,13,16,0
-0.03,-0.52,0.0577,17.33333,1,1,0
-0.029,-0.59,0.0492,20.34483,9,12,0
-0.029,-1.457,0.0199,50.25641,34,28,0
-0.029,-0.482,0.0602,16.6113,33,22,0
-0.029,-0.97,0.1062,9.41748,50,38,0
-0.029,-3.422,0.0085,118.2318,10,13,0
-0.028,-1.69,0.0166,60.35714,2,3,0
-0.028,-1,0.026,38.46154,6,7,0
-0.028,-1,0.026,38.46154,6,7,0
-0.027,-1.018,0.0265,37.69231,34,28,0
-0.027,-0.59,0.0458,21.85185,9,12,0
-0.027,-1.203,0.0224,44.54545,34,28,0
-0.027,-0.55,0.0491,20.37037,2,3,0
-0.026,-0.425,0.0607,16.47446,33,22,0
-0.026,-1.59,0.0164,61.15385,2,3,0
-0.026,-1.58,0.0165,60.76923,2,3,0
-0.026,-1.945,0.0135,73.90451,30,25,0
-0.026,-1.891,0.0135,73.90451,30,25,0
-0.026,-0.401,0.0658,15.19757,33,22,0
-0.025,-0.1,0.25,4,65,8,0
-0.025,-0.289,0.0876,11.41118,59,2,0
-0.025,-1.471,0.017,58.82353,15,17,0
-0.025,-0.506,0.0488,20.4918,20,22,0
-0.024,-0.67,0.0358,27.91667,19,21,0
-0.024,-0.88,0.0273,36.66667,12,15,0
-0.024,-0.67,0.0358,27.91667,19,21,0
-0.023,-1.17,0.0197,50.86957,2,3,0
-0.023,-0.65,0.0354,28.26087,19,21,0
-0.023,-2.083,0.0108,92.59259,18,20,0
-0.023,-0.65,0.0354,28.26087,19,21,0
-0.023,-0.64,0.0359,27.82609,19,21,0
-0.023,-0.63,0.0365,27.3913,19,21,0
-0.022,-0.61,0.0361,27.72727,19,21,0
-0.022,-1.44,0.0155,64.34783,30,25,0
-0.022,-1.4,0.0155,64.34783,30,25,0
-0.022,-0.102,0.2127,4.70085,30,25,0
-0.022,-1.29,0.0171,58.63636,2,3,0
-0.021,-0.194,0.108,9.25926,35,29,0
-0.021,-0.59,0.0356,28.09524,19,21,0
-0.021,-1.03,0.0204,49.04762,2,3,0
-0.021,-0.135,0.155,6.45161,32,39,0
-0.021,-0.33,0.0636,15.71429,2,3,0
-0.021,-0.89,0.0236,42.38095,2,3,0
-0.021,-0.737,0.0284,35.22788,28,25,0
-0.02,-0.31,0.0645,15.50388,1,1,0
-0.02,-0.32,0.0625,16,1,1,0
-0.02,-0.36,0.0556,18,9,12,0
-0.02,-0.38,0.0526,19.01141,1,1,0
-0.02,-0.42,0.0476,21.0084,1,1,0
-0.02,-0.49,0.0408,24.5,34,28,0
-0.02,-0.56,0.0357,28,34,28,0
-0.02,-1.53,0.0131,76.5,1,1,0
-0.02,-0.34,0.0588,17.0068,1,1,0
-0.02,-0.44,0.0459,21.78218,31,26,0
-0.02,-0.46,0.0435,22.98851,1,1,0
-0.02,-1,0.02,50,2,3,0
-0.02,-0.167,0.12,8.33333,26,25,0
-0.02,-1.52,0.0132,76,1,1,0
-0.02,-0.167,0.12,8.33333,26,25,0
-0.02,-0.81,0.0243,41.11675,31,26,0
-0.02,-2.7,0.0074,135,13,16,0
-0.02,-0.43,0.0465,21.50538,1,1,0
-0.02,-0.51,0.0392,25.5102,1,1,0
-0.02,-1.7,0.0118,85,13,16,0
-0.02,-1,0.02,50,64,49,0
-0.019,-1.05,0.0181,55.26316,2,3,0
-0.018,-0.439,0.026,38.46154,6,7,0
-0.018,-0.23,0.0783,12.77778,65,8,0
-0.018,-0.643,0.026,38.46154,6,7,0
-0.018,-0.58,0.0302,33.14286,31,26,0
-0.018,-0.439,0.041,24.39024,6,7,0
-0.018,-0.439,0.026,38.46154,6,7,0
-0.018,-0.539,0.026,38.46154,6,7,0
-0.018,-0.643,0.026,38.46154,6,7,0
-0.017,-0.778,0.0214,46.66667,32,27,0
-0.017,-2.429,0.007,142.8571,47,36,0
-0.017,-0.33,0.0515,19.41176,12,15,0
-0.017,-0.19,0.0895,11.17647,66,8,0
-0.017,-0.69,0.0246,40.58824,9,12,0
-0.017,-1.565,0.0108,92.59259,18,20,0
-0.017,-2.481,0.0069,145.5052,10,13,0
-0.017,-0.7,0.0243,41.17647,9,12,0
-0.016,-0.78,0.0205,48.75,2,3,0
-0.016,-0.447,0.0361,27.67819,28,25,0
-0.015,-0.167,0.09,11.11111,26,25,0
-0.015,-0.014,1.0763,0.92909,42,17,0
-0.015,-0.217,0.0688,14.53488,33,22,0
-0.015,-1.36,0.0111,90.09009,18,20,0
-0.014,-1.652,0.0084,119.5652,30,25,0
-0.014,-1.652,0.0084,119.5652,30,25,0
-0.014,-0.54,0.0259,38.57143,9,12,0
-0.014,-0.57,0.0246,40.71429,9,12,0
-0.013,-0.449,0.03,33.33333,16,18,0
-0.013,-0.17,0.0765,13.07692,65,8,0
-0.013,-0.061,0.2136,4.68182,30,25,0
-0.013,-0.407,0.0321,31.14286,28,25,0
-0.013,-0.37,0.0358,27.94556,28,25,0
-0.013,-0.322,0.0415,24.09666,28,25,0
-0.013,-0.72,0.0181,55.38462,9,12,0
-0.013,-0.24,0.0554,18.04511,31,26,0
-0.012,-0.63,0.019,52.5,9,12,0
-0.012,-0.19,0.0632,15.83333,19,21,0
-0.012,-0.42,0.0287,34.80739,28,25,0
-0.012,-1.079,0.011,90.72827,30,25,0
-0.012,-0.62,0.0194,51.66667,9,12,0
-0.012,-0.222,0.054,18.51852,14,17,0
-0.011,-0.5,0.022,45.45455,2,3,0
-0.011,-1,0.011,90.72827,30,25,0
-0.011,-0.21,0.0524,19.09091,9,12,0
-0.011,-0.4,0.0275,36.36364,2,3,0
-0.01,-0.063,0.16,6.25,26,25,0
-0.01,-0.333,0.0286,35.01946,15,17,0
-0.01,-0.9,0.0111,90,3,4,0
-0.01,-0.2,0.05,20,13,16,0
-0.01,-1.1,0.0091,109.8901,1,1,0
-0.01,-0.2,0.05,20,27,25,0
-0.01,-0.071,0.14,7.14286,27,25,0
-0.01,-1.1,0.0091,109.8901,1,1,0
-0.01,-0.1,0.1,10,27,25,0
-0.01,-0.9,0.0111,90,13,16,0
-0.01,-0.26,0.0385,25.97403,1,1,0
-0.01,-0.1,0.1,10,13,16,0
-0.01,-2.9,0.0034,290,13,16,0
-0.01,-0.15,0.0667,14.9925,1,1,0
-0.01,-1.09,0.0092,108.6956,1,1,0
-0.01,-0.17,0.0588,17.0068,1,1,0
-0.01,-0.92,0.0109,91.74312,1,1,0
-0.01,-0.083,0.12,8.33333,49,25,0
-0.01,-1.09,0.0092,108.6956,1,1,0
-0.01,-0.143,0.07,14.28571,41,17,0
-0.01,-0.91,0.011,90.90909,1,1,0
-0.01,-0.237,0.0416,24.03364,28,25,0
-0.009,-1.255,0.007,142.5731,30,25,0
-0.009,-0.4,0.0225,44.44444,3,4,0
-0.009,-1.229,0.0072,139.6028,30,25,0
-0.008,-0.826,0.0094,106.6625,30,25,0
-0.008,-0.6,0.0133,75,3,4,0
-0.008,-0.307,0.0265,37.74055,28,25,0
-0.008,-0.433,0.0178,56.30462,30,25,0
-0.008,-0.16,0.05,20,9,12,0
-0.008,-0.467,0.0178,56.30462,30,25,0
-0.008,-0.804,0.0094,106.6625,30,25,0
-0.007,-0.32,0.0219,45.71429,9,12,0
-0.007,-0.34,0.0206,48.57143,9,12,0
-0.006,-0.04,0.1575,6.34921,66,8,0
-0.006,-0.31,0.0194,51.66667,9,12,0
-0.006,-0.28,0.0214,46.66667,9,12,0
-0.005,-0.633,0.008,125.0654,30,25,0
-0.005,-0.612,0.008,125.0654,30,25,0
-0.005,-0.142,0.0339,29.49248,28,25,0
-0.005,-0.031,0.17,5.88235,41,17,0
-0.005,-0.22,0.0227,44,9,12,0
